mass_kg,grade_deg,steady_force_N,wheel_output_torque_Nm,minimum_uniform_mu,wheel_output_torque_Nm_at_accel_0p1
35.0,2.0,32.56006993976765,1.1396024478918678,0.09492076949174773,1.2621024478918679
35.0,2.25,34.05334232680364,1.1918669814381275,0.09929010700766963,1.3143669814381274
35.0,2.5,35.54596638728855,1.2441088235550994,0.10366094290851205,1.3666088235550995
35.0,2.75,37.03791370381185,1.296326979633415,0.10803344448518745,1.4188269796334152
35.0,3.0,38.52915587184725,1.348520455514654,0.11240777928304121,1.471020455514654
35.0,3.25,40.01966450029343,1.4006882575102702,0.11678411512761214,1.5231882575102704
35.0,3.5,41.509411212014626,1.452829392420512,0.1211626201504843,1.5753293924205123
35.0,3.75,42.99836764438087,1.5049428675533305,0.1255434628152382,1.6274428675533306
35.0,4.0,44.48650544980798,1.5570276907432794,0.1299268119435104,1.6795276907432797
35.0,4.25,45.97379629629725,1.6090828703704039,0.13431283674116962,1.731582870370404
35.0,4.5,47.46021186797482,1.6611074153791188,0.13870170682461844,1.783607415379119
35.0,4.75,48.94572386563086,1.7131003352970802,0.1430935922472295,1.8356003352970804
35.0,5.0,50.430304007258236,1.7650606402540385,0.147488663525924,1.8875606402540384
35.0,5.25,51.91392402859105,1.816987341000687,0.15188709166790293,1.9394873410006868
35.0,5.5,53.396555683642646,1.8688794489274927,0.1562890481975386,1.9913794489274927
35.0,5.75,54.87817074524351,1.920735976083523,0.1606947051834366,2.043235976083523
35.0,6.0,56.358741005578565,1.97255593519525,0.16510423526567647,2.09505593519525
35.0,6.25,57.83823827672425,2.024338339685349,0.16951781168324145,2.146838339685349
35.0,6.5,59.31663439118517,2.076082203691481,0.1739356083016455,2.198582203691481
35.0,6.75,60.79390120243038,2.1277865420850635,0.1783577996407678,2.250286542085064
35.0,7.0,62.270010585429205,2.1794503704900223,0.1827845609029046,2.3019503704900224
35.0,7.25,63.74493443718678,2.2310727053015373,0.18721606800104693,2.353572705301538
35.0,7.5,65.218644677279,2.282652563704765,0.19165249758739583,2.4051525637047653
35.0,7.75,66.69111324838723,2.334188963693553,0.19609402708212353,2.4566889636935536
35.0,8.0,68.1623121168324,2.385680924089134,0.20054083470239145,2.508180924089134
35.0,8.25,69.6322132731087,2.437127464558805,0.2049930994916353,2.559627464558804
35.0,8.5,71.10078873241696,2.488527605634594,0.2094510013491278,2.611027605634594
35.0,8.75,72.56801053519732,2.5398803687319065,0.21391472105982903,2.6623803687319065
35.0,9.0,74.03385074766165,2.591184776168158,0.21838444032453627,2.713684776168158
35.0,9.25,75.49828146232522,2.642439851181383,0.22286034179034306,2.764939851181383
35.0,9.5,76.9612747985382,2.6936446179488374,0.22734260908141957,2.8161446179488374
35.0,9.75,78.42280290301628,2.74479810160557,0.23183142683012517,2.86729810160557
35.0,10.0,79.88283795037114,2.79589932826299,0.23632698070846497,2.91839932826299
35.0,10.25,81.34135214364005,2.846947325027402,0.2408294574599015,2.969447325027402
35.0,10.5,82.7983177148152,2.8979411200185323,0.24533904493153438,3.0204411200185324
35.0,10.75,84.25370692537223,2.948879742388028,0.24985593210665913,3.0713797423880282
