turn_radius_m,body_speed_m_s,wheel,steering_deg,rolling_speed_m_s,wheel_rpm
0.875,0.25,FR,18.716687086179782,0.40423432283157507,27.572524562592932
0.875,0.25,RL,-47.91532211664252,0.17478056212851353,11.921653036771305
0.875,0.25,RR,-18.716687086179782,0.40423432283157507,27.572524562592932
0.9,0.25,FL,46.22435782250399,0.17465596694680505,11.913154491462302
0.9,0.25,FR,18.397163086799765,0.39958900567556926,27.255670910760973
0.9,0.25,RL,-46.22435782250399,0.17465596694680505,11.913154491462302
0.9,0.25,RR,-18.397163086799765,0.39958900567556926,27.255670910760973
0.925,0.25,FL,44.62388431173557,0.17467824955971942,11.914674372029586
0.925,0.25,FR,18.088006301619416,0.3952064859600906,26.95674247822549
0.925,0.25,RL,-44.62388431173557,0.17467824955971942,11.914674372029586
0.925,0.25,RR,-18.088006301619416,0.3952064859600906,26.95674247822549
0.9500000000000001,0.25,FL,43.109132805048766,0.17482500153992536,11.924684216197429
0.9500000000000001,0.25,FR,17.78873738367682,0.3910654704983124,26.674286872441794
0.9500000000000001,0.25,RL,-43.109132805048766,0.17482500153992536,11.924684216197429
0.9500000000000001,0.25,RR,-17.78873738367682,0.3910654704983124,26.674286872441794
0.9750000000000001,0.25,FL,41.67535089288917,0.1750769531191298,11.941869647304655
0.9750000000000001,0.25,FR,17.498905002652585,0.38714688264823627,26.407002889750594
0.9750000000000001,0.25,RL,-41.67535089288917,0.1750769531191298,11.941869647304655
0.9750000000000001,0.25,RR,-17.498905002652585,0.38714688264823627,26.407002889750594
1.0,0.25,FL,40.31787371596411,0.17541753760670567,11.965100663620992
1.0,0.25,FR,17.21808391311512,0.3834335829058274,26.15372145724221
1.0,0.25,RL,-40.31787371596411,0.17541753760670567,11.965100663620992
1.0,0.25,RR,-17.21808391311512,0.3834335829058274,26.15372145724221
1.025,0.25,FL,39.03217592848199,0.1758325145436182,11.99340593395475
1.025,0.25,FR,16.94587317231366,0.3799101305796848,25.913389376761824
1.025,0.25,RL,-39.03217592848199,0.1758325145436182,11.99340593395475
1.025,0.25,RR,-16.94587317231366,0.3799101305796848,25.913389376761824
1.05,0.25,FL,37.81390798838317,0.1763096443843837,12.025950607949524
1.05,0.25,FR,16.68189449508802,0.37656257968262535,25.685055402825228
1.05,0.25,RL,-37.81390798838317,0.1763096443843837,12.025950607949524
1.05,0.25,RR,-16.68189449508802,0.37656257968262535,25.685055402825228
1.0750000000000002,0.25,FL,36.65891992680978,0.17683840817767643,12.062017195705478
1.0750000000000002,0.25,FR,16.42579073451366,0.37337830345446615,25.46785827344742
1.0750000000000002,0.25,RL,-36.65891992680978,0.17683840817767643,12.062017195705478
1.0750000000000002,0.25,RR,-16.42579073451366,0.37337830345446615,25.46785827344742
1.1,0.25,FL,35.56327530904114,0.17740976637888786,12.100989116562149
1.1,0.25,FR,16.177224477869572,0.37034584294741285,25.261016382263787
1.1,0.25,RL,-35.56327530904114,0.17740976637888786,12.100989116562149
1.1,0.25,RR,-16.177224477869572,0.37034584294741285,25.261016382263787
1.125,0.25,FL,34.52325766125718,0.1780159515671157,12.142336560477382
1.125,0.25,FR,15.935876748408168,0.3674547759189952,25.06381883581407
1.125,0.25,RL,-34.52325766125718,0.1780159515671157,12.142336560477382
1.125,0.25,RR,-15.935876748408168,0.3674547759189952,25.06381883581407
1.15,0.25,FL,33.53537123090473,0.17865029044474692,12.1856043467504
1.15,0.25,FR,15.701445804224921,0.3646956029317211,24.875617684483938
1.15,0.25,RL,-33.53537123090473,0.17865029044474692,12.1856043467504
1.15,0.25,RR,-15.701445804224921,0.3646956029317211,24.875617684483938
1.175,0.25,FL,32.5963375876793,0.17930705106167627,12.230401503298568
1.175,0.25,FR,15.4736460262757,0.3620596480874395,24.69582115166918
1.175,0.25,RL,-32.5963375876793,0.17930705106167627,12.230401503298568
1.175,0.25,RR,-15.4736460262757,0.3620596480874395,24.69582115166918
1.2000000000000002,0.25,FL,31.703089262238223,0.17998131172275764,12.2763923249315
1.2000000000000002,0.25,FR,15.25220688827586,0.35953897225397474,24.52388771502852
1.2000000000000002,0.25,RL,-31.703089262238223,0.17998131172275764,12.2763923249315
1.2000000000000002,0.25,RR,-15.25220688827586,0.35953897225397474,24.52388771502852
1.225,0.25,FL,30.852761359972344,0.18066884850371542,12.323288700894466
1.225,0.25,FR,15.036872001842442,0.3571262969921593,24.359320917602755
1.225,0.25,RL,-30.852761359972344,0.18066884850371542,12.323288700894466
1.225,0.25,RR,-15.036872001842442,0.3571262969921593,24.359320917602755
1.25,0.25,FL,30.04268187352293,0.18136603871728574,12.370843530365185
1.25,0.25,FR,14.827398230813197,0.3548149376787849,24.201664806180602
1.25,0.25,RL,-30.04268187352293,0.18136603871728574,12.370843530365185
1.25,0.25,RR,-14.827398230813197,0.3548149376787849,24.201664806180602
1.275,0.25,FL,29.270361244768843,0.18206977803950777,12.418845069699376
1.275,0.25,FR,14.62355486919835,0.3525987445575933,24.050499910430357
1.275,0.25,RL,-29.270361244768843,0.18206977803950777,12.418845069699376
1.275,0.25,RR,-14.62355486919835,0.3525987445575933,24.050499910430357
1.3,0.25,FL,28.533481588828003,0.18277740932879738,12.467112077232343
1.3,0.25,FR,14.425122877697211,0.3504720506460161,23.90543968965709
1.3,0.25,RL,-28.533481588828003,0.18277740932879738,12.467112077232343
1.3,0.25,RR,-14.425122877697211,0.3504720506460161,23.90543968965709
1.3250000000000002,0.25,FL,27.82988588350229,0.1834866614513989,12.515489640608253
