speed_m_s,total_latency_s,available_deceleration_m_s2,geometric_margin_m,required_clearance_m
0.37,0.3,0.5,0.15,0.39790000000000003
0.38,0.3,0.5,0.15,0.4084
0.39,0.3,0.5,0.15,0.41910000000000003
0.4,0.3,0.5,0.15,0.43000000000000005
0.41000000000000003,0.3,0.5,0.15,0.44110000000000005
0.42,0.3,0.5,0.15,0.4524
0.43,0.3,0.5,0.15,0.4639
0.44,0.3,0.5,0.15,0.4756
0.45,0.3,0.5,0.15,0.48750000000000004
0.46,0.3,0.5,0.15,0.49960000000000004
0.47000000000000003,0.3,0.5,0.15,0.5119
0.48,0.3,0.5,0.15,0.5244
0.49,0.3,0.5,0.15,0.5371
0.5,0.3,0.5,0.15,0.55
0.51,0.3,0.5,0.15,0.5631
0.52,0.3,0.5,0.15,0.5764
0.53,0.3,0.5,0.15,0.5899000000000001
0.54,0.3,0.5,0.15,0.6036
0.55,0.3,0.5,0.15,0.6175
0.56,0.3,0.5,0.15,0.6316
0.5700000000000001,0.3,0.5,0.15,0.6459000000000001
0.58,0.3,0.5,0.15,0.6604
0.59,0.3,0.5,0.15,0.6750999999999999
0.6,0.3,0.5,0.15,0.6900000000000001
0.61,0.3,0.5,0.15,0.7051
0.62,0.3,0.5,0.15,0.7204
0.63,0.3,0.5,0.15,0.7359000000000001
0.64,0.3,0.5,0.15,0.7516
0.65,0.3,0.5,0.15,0.7675000000000001
0.66,0.3,0.5,0.15,0.7836000000000001
0.67,0.3,0.5,0.15,0.7999000000000002
0.68,0.3,0.5,0.15,0.8164000000000001
0.6900000000000001,0.3,0.5,0.15,0.8331000000000001
0.7000000000000001,0.3,0.5,0.15,0.8500000000000002
0.71,0.3,0.5,0.15,0.8671
0.72,0.3,0.5,0.15,0.8844
0.73,0.3,0.5,0.15,0.9018999999999999
0.74,0.3,0.5,0.15,0.9196
0.75,0.3,0.5,0.15,0.9375
0.76,0.3,0.5,0.15,0.9556
0.77,0.3,0.5,0.15,0.9739
0.78,0.3,0.5,0.15,0.9924000000000001
0.79,0.3,0.5,0.15,1.0111
0.8,0.3,0.5,0.15,1.03
0.81,0.3,0.5,0.15,1.0491000000000001
0.8200000000000001,0.3,0.5,0.15,1.0684
0.8300000000000001,0.3,0.5,0.15,1.0879
0.84,0.3,0.5,0.15,1.1076
0.85,0.3,0.5,0.15,1.1275
0.86,0.3,0.5,0.15,1.1476
0.87,0.3,0.5,0.15,1.1679
0.88,0.3,0.5,0.15,1.1884
0.89,0.3,0.5,0.15,1.2090999999999998
0.9,0.3,0.5,0.15,1.23
0.91,0.3,0.5,0.15,1.2511
0.92,0.3,0.5,0.15,1.2724
0.93,0.3,0.5,0.15,1.2939
0.9400000000000001,0.3,0.5,0.15,1.3156
0.9500000000000001,0.3,0.5,0.15,1.3375
0.96,0.3,0.5,0.15,1.3596
0.97,0.3,0.5,0.15,1.3819
0.98,0.3,0.5,0.15,1.4043999999999999
0.99,0.3,0.5,0.15,1.4270999999999998
1.0,0.3,0.5,0.15,1.45
0.0,0.3,0.8,0.15,0.15
0.01,0.3,0.8,0.15,0.1530625
0.02,0.3,0.8,0.15,0.15625
0.03,0.3,0.8,0.15,0.1595625
0.04,0.3,0.8,0.15,0.163
0.05,0.3,0.8,0.15,0.1665625
0.06,0.3,0.8,0.15,0.17024999999999998
0.07,0.3,0.8,0.15,0.1740625
0.08,0.3,0.8,0.15,0.178
0.09,0.3,0.8,0.15,0.1820625
0.1,0.3,0.8,0.15,0.18625
0.11,0.3,0.8,0.15,0.1905625
0.12,0.3,0.8,0.15,0.195
0.13,0.3,0.8,0.15,0.1995625
0.14,0.3,0.8,0.15,0.20425
0.15,0.3,0.8,0.15,0.20906249999999998
0.16,0.3,0.8,0.15,0.214
0.17,0.3,0.8,0.15,0.2190625
0.18,0.3,0.8,0.15,0.22425
0.19,0.3,0.8,0.15,0.2295625
0.2,0.3,0.8,0.15,0.235
0.21,0.3,0.8,0.15,0.24056249999999998
0.22,0.3,0.8,0.15,0.24625
0.23,0.3,0.8,0.15,0.25206249999999997
0.24,0.3,0.8,0.15,0.258
0.25,0.3,0.8,0.15,0.2640625
0.26,0.3,0.8,0.15,0.27025
0.27,0.3,0.8,0.15,0.2765625
